,Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,W,L,T,ShO,Wpct,SvPct,Year,Season,PKG,PKA,Last Name,First Name,Club Name,Club Name_Dup,Last Name_Dup,First Name_Dup,POS_Dup,Club_Dup,Base Salary,Guaranteed Compensation,Date
683,Frederick Hall,,,,,,,,,,,,,,,,2012,,,,,,,TOR,Hall,Frederick,GK,TFC,44004.0,44004.0,2012-10-01
684,Chris Sharpe,,,,,,,,,,,,,,,,2012,,,,,,,UNK,Sharpe,Chris,GK,POOL,44100.0,44100.0,2012-05-15
685,Steve Spangler,,,,,,,,,,,,,,,,2012,,,,,,,UNK,Spangler,Steve,GK,POOL,33750.0,33750.0,2012-05-15
686,Jonathan Kempin,,,,,,,,,,,,,,,,2013,,,,,,,KC,Kempin,Jonathan,GK,KC,60000.0,67083.33,2013-05-01
687,Robert Shuttleworth,,,,,,,,,,,,,,,,2013,,,,,,,NE,Shuttleworth,Robert,GK,NE,80004.0,84504.0,2013-05-01
688,Santiago Castano,,,,,,,,,,,,,,,,2013,,,,,,,NY,Castano,Santiago,GK,NY,35125.0,35125.0,2013-05-01
689,Eduardo Fernandez,,,,,,,,,,,,,,,,2013,,,,,,,RSL,Fernandez,Eduardo,GK,RSL,35125.0,35125.0,2013-05-01
690,Doug Herrick,,,,,,,,,,,,,,,,2013,,,,,,,UNK,Herrick,Doug,GK,POOL,35125.0,35125.0,2013-05-01
691,Brad Stuver,,,,,,,,,,,,,,,,2013,,,,,,,UNK,Stuver,Brad,GK,POOL,35125.0,35125.0,2013-05-01
692,Steven Clark,,,,,,,,,,,,,,,,2014,,,,,,,CLB,Clark,Steven,GK,CLB,135000.0,138333.33,2014-04-01
693,Jonathan Kempin,,,,,,,,,,,,,,,,2014,,,,,,,KC,Kempin,Jonathan,GK,KC,70000.0,77083.33,2014-04-01
694,Robert Shuttleworth,,,,,,,,,,,,,,,,2014,,,,,,,NE,Shuttleworth,Robert,GK,NE,90000.0,94500.0,2014-04-01
695,Santiago Castano,,,,,,,,,,,,,,,,2014,,,,,,,NY,Castano,Santiago,GK,NY,36500.0,36500.0,2014-04-01
696,Josh Saunders,,,,,,,,,,,,,,,,2014,,,,,,,NYCFC,Saunders,Josh,GK,NYCFC,48504.0,48504.0,2014-09-15
697,Rais Mbolhi,,,,,,,,,,,,,,,,2014,,,,,,,PHI,Mbolhi,Rais,GK,PHI,240000.0,240000.0,2014-09-15
698,Eduardo Fernandez,,,,,,,,,,,,,,,,2014,,,,,,,RSL,Fernandez,Eduardo,GK,RSL,36500.0,36500.0,2014-04-01
699,Billy Knutson,,,,,,,,,,,,,,,,2014,,,,,,,SJ,Knutson,Billy,GK,SJ,36504.0,36504.0,2014-04-01
700,Julio Cesar,,,,,,,,,,,,,,,,2014,,,,,,,TOR,Cesar,Julio,GK,TOR,192000.0,202000.0,2014-04-01
701,Daniel Withrow,,,,,,,,,,,,,,,,2014,,,,,,,UNK,Withrow,Daniel,GK,POOL,36504.0,36504.0,2014-04-01
702,Jonathan Kempin,,,,,,,,,,,,,,,,2015,,,,,,,KC,Kempin,Jonathan,GK,KC,85000.0,92083.0,2015-07-15
703,Robert Shuttleworth,,,,,,,,,,,,,,,,2015,,,,,,,NE,Shuttleworth,Robert,GK,NE,101250.0,111250.0,2015-07-15
704,Santiago Castano,,,,,,,,,,,,,,,,2015,,,,,,,NY,Castano,Santiago,GK,NY,60000.0,60000.0,2015-07-15
705,Earl Edwards,,,,,,,,,,,,,,,,2015,,,,,,,ORL,Edwards,Earl,GK,ORL,50000.0,50000.0,2015-07-15
706,Rais Mbolhi,,,,,,,,,,,,,,,,2015,,,,,,,PHI,Mbolhi,Rais,GK,PHI,350000.0,350000.0,2015-07-15
707,Eduardo Fernandez,,,,,,,,,,,,,,,,2015,,,,,,,RSL,Fernandez,Eduardo,GK,RSL,60000.0,60000.0,2015-07-15
708,Trey Mitchell,,,,,,,,,,,,,,,,2015,,,,,,,UNK,Mitchell,Trey,GK,POOL,50000.0,50000.0,2015-07-15
709,Alexander Tambakis,,,,,,,,,,,,,,,,2016,,,,,,,ATL,Tambakis,Alexander,GK,ATL,63000.0,63000.0,2016-05-15
710,Jonathan Kempin,,,,,,,,,,,,,,,,2016,,,,,,,KC,Kempin,Jonathan,GK,KC,82750.0,82750.0,2016-05-15
711,Robert Shuttleworth,,,,,,,,,,,,,,,,2016,,,,,,,NE,Shuttleworth,Robert,GK,NE,137500.0,154375.0,2016-05-15
712,Earl Edwards,,,,,,,,,,,,,,,,2016,,,,,,,ORL,Edwards,Earl,GK,ORL,52500.0,52500.0,2016-05-15
713,Eduardo Fernandez,,,,,,,,,,,,,,,,2016,,,,,,,RSL,Fernandez,Eduardo,GK,RSL,63000.0,63000.0,2016-05-15
714,Trey Mitchell,,,,,,,,,,,,,,,,2016,,,,,,,UNK,Mitchell,Trey,GK,POOL,62500.0,62500.0,2016-05-15
715,Steven Clark,,,,,,,,,,,,,,,,2017,,,,,,,DC,Clark,Steven,GK,DC,72000.0,72000.0,2017-09-15
716,Jonathan Kempin,,,,,,,,,,,,,,,,2017,,,,,,,KC,Kempin,Jonathan,GK,KC,65004.0,65004.0,2017-04-15
717,Jonathan Kempin,,,,,,,,,,,,,,,,2017,,,,,,,LA,Kempin,Jonathan,GK,LA,65004.0,65004.0,2017-09-15
718,Billy Heavner,,,,,,,,,,,,,,,,2017,,,,,,,MIN,Heavner,Billy,GK,MNUFC,53004.0,53004.0,2017-04-15
719,Billy Heavner,,,,,,,,,,,,,,,,2017,,,,,,,UNK,Heavner,Billy,GK,POOL,53004.0,53004.0,2017-09-15
720,Earl Edwards,,,,,,,,,,,,,,,,2017,,,,,,,ORL,Edwards,Earl,GK,ORL,65000.0,65000.0,2017-04-15
721,Jake McGuire,,,,,,,,,,,,,,,,2017,,,,,,,PHI,McGuire,Jake,GK,PHI,53004.0,53004.0,2017-04-15
722,Eduardo Fernandez,,,,,,,,,,,,,,,,2017,,,,,,,RSL,Fernandez,Eduardo,GK,RSL,66150.0,66150.0,2017-04-15
